,microsecs,n_reprocessing
71692,899,0
71799,1423,0
71827,1431,0
71848,1111,0
71874,962,0
71905,1303,0
71941,1395,0
71966,1571,0
71996,907,0
72064,782,0
72164,1358,0
72200,1268,0
72228,1797,0
72242,1428,0
72268,1300,0
72288,1326,0
72316,1167,0
72344,1445,0
72367,1356,0
72411,880,0
72510,1174,0
72534,1584,0
72566,3496,0
72600,1118,0
72651,1579,0
72712,1569,0
72758,783,0
72858,1800,0
72885,1618,0
72904,858,0
72931,1089,0
72966,1082,0
72994,1228,0
73029,837,0
73065,1251,0
73108,1454,0
73136,1109,0
73163,1097,0
73192,1775,0
73222,1721,0
73242,1453,0
73259,11285,0
73323,2103,0
73359,1423,0
73458,1228,0
73494,2690,0
73515,1514,0
73556,1781,0
73581,1479,0
73664,583,0
73764,1330,0
73791,810,0
73828,980,0
73863,1262,0
73891,819,0
73954,845,0
74081,657,0
74225,2166,0
74233,863,0
74273,1151,0
74321,1174,0
74349,1018,0
74361,1268,0
74388,710,0
74427,735,0
74553,553,0
74680,838,0
74784,1458,0
74824,1389,0
74851,719,0
74871,1202,0
74907,1553,0
74946,783,0
75045,684,0
75072,1306,0
75108,2011,0
75135,2074,0
75182,687,0
75410,1860,0
75430,1400,0
75449,1252,0
75474,1445,0
75513,1194,0
75539,1082,0
75684,718,0
75787,1763,0
75839,684,0
75939,901,0
75959,1129,0
75992,1705,0
76010,1359,0
76051,1456,0
76063,1549,0
76131,1316,0
76158,1086,0
76205,878,0
76312,1439,0
76324,829,0
76392,669,0
76526,2333,0
76549,1010,0
76576,1581,0
76636,1416,0
76675,849,0
76798,1233,0
76883,1366,0
76933,1635,0
76952,912,0
77086,1378,0
77128,1440,0
77156,1276,0
77197,1295,0
77227,547,0
77267,1338,0
77317,805,0
77444,811,0
77544,1384,0
77575,862,0
77683,1310,0
77703,1328,0
77734,1405,0
77759,1182,0
77800,1519,0
77822,657,0
77842,782,0
77892,1400,0
77920,1148,0
77949,1414,0
78046,1566,0
78068,1233,0
78112,1402,0
78132,1284,0
78160,1400,0
78171,1186,0
78199,892,0
78246,820,0
78362,1342,0
78416,1535,0
78453,1654,0
78480,1392,0
78540,835,0
78648,1843,0
78676,1742,0
78760,1291,0
78788,1206,0
78816,1341,0
78850,1169,0
78891,690,0
78993,1397,0
79054,869,0
79173,808,0
79275,1241,0
79301,1618,0
79360,1178,0
79404,1321,0
79437,1663,0
79459,986,0
79495,1394,0
79550,889,0
79649,1441,0
79696,813,0
79799,1297,0
79859,823,0
79986,683,0
80093,1231,0
80113,2877,0
80141,1386,0
80203,833,0
80311,899,0
80362,955,0
80390,1518,0
80440,692,0
80479,627,0
80629,835,0
80756,783,0
80859,1547,0
80924,1320,0
81063,1040,0
81091,1366,0
81119,1589,0
81130,952,0
81159,1232,0
81164,1366,0
81206,1129,0
81219,1349,0
81262,1314,0
81273,873,0
81328,864,0
81444,1585,0
81464,1006,0
81515,1325,0
81540,1690,0
81587,1440,0
81615,1183,0
81635,1380,0
81662,1123,0
81693,1370,0
81731,1644,0
81754,1172,0
81782,1177,0
81818,1445,0
81846,1487,0
81901,713,0
82001,1521,0
82048,755,0
82175,782,0
82294,869,0
82498,1014,0
82545,1671,0
82586,2133,0
82602,1164,0
82644,1067,0
82839,929,0
82877,1392,0
82897,1135,0
82943,747,0
83067,1508,0
83129,756,0
83232,1212,0
83262,741,0
83301,881,0
83405,1349,0
83430,905,0
83467,775,0
83575,1332,0
83587,1516,0
83644,1447,0
83688,1527,0
83714,1597,0
83728,1203,0
83785,1580,0
83821,1273,0
83849,1380,0
83885,1405,0
83928,748,0
83948,1945,0
84019,1884,0
84130,857,0
84241,1301,0
84339,1350,0
84404,1182,0
84427,1024,0
84460,1349,0
84483,1069,0
84503,901,0
84544,1472,0
84714,812,0
84845,1401,0
84908,730,0
85008,1344,0
85068,1456,0
85104,1798,0
85151,1559,0
85168,1038,0
85204,3006,0
85227,898,0
85251,1210,0
85283,1532,0
85331,1509,0
85357,1394,0
85383,1342,0
85418,817,0
85521,1690,0
85544,839,0
85598,843,0
85698,1657,0
85712,1574,0
85745,946,0
85797,1202,0
85824,790,0
85855,1247,0
85888,1800,0
85911,1641,0
85927,1159,0
85947,793,0
86034,809,0
86146,1710,0
86163,1479,0
86190,1330,0
86218,1022,0
86269,1567,0
86316,835,0
86449,849,0
86549,1224,0
86569,918,0
86597,1186,0
86633,920,0
86780,1524,0
86808,1221,0
86850,1640,0
86870,1118,0
86920,1399,0
86942,1336,0
86989,657,0
87089,1200,0
87152,823,0
87254,1448,0
87287,1199,0
87326,865,0
87426,1496,0
87446,1676,0
87467,1279,0
87498,1290,0
87521,1407,0
87540,1128,0
87583,1506,0
87619,994,0
87648,1442,0
87690,1796,0
87712,2289,0
87737,793,0
87764,1812,0
87793,1785,0
87856,740,0
87957,1461,0
87994,1542,0
88018,1512,0
88042,1413,0
88093,689,0
88201,1597,0
88248,749,0
88348,1173,0
88377,1070,0
88403,1382,0
88438,1154,0
88471,1608,0
88529,690,0
88629,1508,0
88686,1596,0
88709,1359,0
88757,1422,0
88781,1448,0
88825,1493,0
88844,854,0
88874,1576,0
88899,1412,0
